epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,26269,0.62895,0.29251,0.96716,0.99866,0.98885,0.99488,0.84425,0.70351,0.27112,0.92828,0.000184055,0.000184055,0.000184055
90,26540.2,0.63117,0.28645,0.96395,0.99759,0.98717,0.99491,0.84555,0.68666,0.27553,0.93865,0.000169908,0.000169908,0.000169908
91,26809,0.6086,0.26509,0.93835,0.99733,0.9915,0.99495,0.84329,0.6918,0.27179,0.92982,0.000155761,0.000155761,0.000155761
92,27076.6,0.61268,0.26154,0.94269,0.99769,0.99099,0.99498,0.84159,0.69365,0.26811,0.9213,0.000141614,0.000141614,0.000141614
93,27345.2,0.6116,0.26292,0.93588,0.99618,0.99059,0.99498,0.84371,0.69499,0.26513,0.91991,0.000127467,0.000127467,0.000127467
94,27612.9,0.6035,0.2601,0.93693,0.99857,0.98928,0.99497,0.8444,0.69237,0.26393,0.92342,0.00011332,0.00011332,0.00011332
95,27881.5,0.60218,0.2597,0.9393,0.99604,0.99175,0.99495,0.84136,0.69202,0.26546,0.93196,9.91726e-05,9.91726e-05,9.91726e-05
96,28148.6,0.59859,0.25607,0.93734,0.9952,0.99189,0.99497,0.84409,0.68932,0.2645,0.9411,8.50255e-05,8.50255e-05,8.50255e-05
97,28417.2,0.59285,0.24959,0.9293,0.99618,0.99014,0.99497,0.84216,0.69319,0.26463,0.93081,7.08784e-05,7.08784e-05,7.08784e-05
98,28684.5,0.59372,0.24978,0.92467,0.99232,0.99373,0.99497,0.84452,0.69202,0.26177,0.92643,5.67313e-05,5.67313e-05,5.67313e-05
99,28953.4,0.59774,0.25807,0.93752,0.99339,0.99303,0.99495,0.8443,0.69223,0.26093,0.92166,4.25842e-05,4.25842e-05,4.25842e-05
100,29221.2,0.58894,0.25006,0.92779,0.99351,0.99295,0.99497,0.84708,0.68962,0.26207,0.92372,2.84371e-05,2.84371e-05,2.84371e-05
